Organization,Website
G42,https://www.g42.ai/ 
UNIDO's Global Alliance on Artificial Intelligence for Industry and Manufacturing (AIM-Global,https://aim.unido.org/ 
Global Environment & Technology Foundation (GEFT),https://www.getf.org/
UC Berkeley Lab – AI Research (BAIR),https://bair.berkeley.edu/
BAIR - Responsible AI Initiative,https://re-ai.berkeley.edu/
UC Berkeley - AI Policy Hub,https://cltc.berkeley.edu/program/ai-policy-hub/
Berkman Klein Center,https://cyber.harvard.edu/
Centre for Democracy and Technology (CDT),https://cdt.org/eu/
Beyond Lab,https://www.thebeyondlab.org/ 
Frontier Tech Hub,https://www.frontiertechhub.org/
Partnership on AI,https://partnershiponai.org/
TRAI (Türkiye Yapay Zeka İnsiyatifi),https://turkiye.ai
AI Now Institute,https://ainowinstitute.org/
Centre for AI and Digital Policy (CAIDP),https://www.caidp.org/
OECD.AI Policy Observatory,https://oecd.ai/en/
Centre for the Governance of AI (GovAI),https://www.governance.ai/ 
The Alan Turing Institute,https://www.turing.ac.uk/
AI for Good (ITU),https://aiforgood.itu.int/
VUB AI Research Group,https://ai.vub.ac.be/ 
FARI AI for the Common Good Institute,https://www.fari.brussels/ 
Microsoft AI for Good Lab,https://www.microsoft.com/en-us/research/group/ai-for-good-research-lab/
AICE Africa,https://aiceafrica.com/
AI Hub for Sustainable Development,https://www.aihubfordevelopment.org/
AI Asia Pacific,https://aiasiapacific.org/
Hub71,https://www.hub71.com/
AI for Development Funders Collaborative,https://www.ai4d-collaborative.org/
Innovation Center for Artificial Intelligence,https://www.icai.ai
AI for Sustainable Development Platform (AI4SD),https://ai4sd.info/
UNEP Sustainable AI Coalition,"	https://www.sustainableaicoalition.org "
UN Global Pulse,"	https://www.unglobalpulse.org"
The Centre for Humanitarian Data,"	https://centre.humdata.org/"
European Digital Rights (EDRi),https://edri.org
Omdena,https://omdena.com
AI for SDGs Academy,https://www.ai‑for‑sdgs.academy
Leverhulme Centre for the Future of Intelligence (CFI) – University of Cambridge,https://www.lcfi.ac.uk/
International Association for Safe & Ethical AI,https://www.iaseai.org/
AI4D Africa,https://www.ai4d.ai/
We Robotics,https://werobotics.org/our-work/local-experts/the-flying-labs-network
Data Science for Social Good,https://www.datascienceforsocialgood.org/
Lenovo AI for Social Impact Lab - AI for Changemakers Accelerator,https://techtotherescue.org/ai-for-changemakers/?
Social Lab AI,https://sociallab.ai/
Global AI Frontier Lab,https://www.nyu.edu/research/research-centers-and-institutes/global-ai-frontier-lab.html
Future of Life Institute (FLI),https://futureoflife.org/
Data Pop Alliance,https://datapopalliance.org/our-work/thematic-programms/program-ai-and-statistics-for-the-sdgs/
Digital Earth Africa,https://digitalearthafrica.org/en_za/
Flow Minder,https://www.flowminder.org/
IDInsights,https://www.idinsight.org/data-science/?
